TS8,TS3,TS5,ENRL,DENS,IMTR,IM,IL,FLUN
87,81,98,3965,29.26,0,1,0,Yes
92,86,89,4982,38.21,0,1,0,Yes
90,93,80,1057,16.57,0,0,0,Yes
110,129,114,2943,66.8,0,0,0,No
110,117,118,10723,276.88,0,1,0,No
112,120,112,1350,19.24,0,0,0,Yes
101,74,94,2102,22.45,0,0,0,Yes
86,82,83,1988,24.18,0,0,0,Yes
91,73,82,4774,38.62,0,1,0,Yes
73,99,98,60064,1358.68,1,0,1,Yes
132,134,125,1349,84.59,0,0,0,No
122,124,111,1805,1104.18,1,0,0,No
114,138,128,2211,110.84,0,0,0,No
105,104,117,3768,158.84,1,1,0,No
136,145,133,3171,144.15,1,0,0,No
134,146,128,1280,137.04,1,0,0,No
119,113,97,1070,102.89,0,0,0,No
110,113,109,4639,276.88,0,1,0,No
123,121,115,2957,2198.27,1,0,0,No
97,88,105,3939,53.34,0,1,0,Yes
104,119,117,3366,287.1,0,0,0,Yes
118,128,115,1183,102.89,0,0,0,No
104,125,113,6375,1583.87,1,1,0,Yes
98,109,103,1724,41,0,0,0,Yes
118,123,110,4971,164.47,0,1,0,Yes
81,110,97,1294,149.73,1,0,0,No
91,107,90,3740,76.42,0,1,0,Yes
112,120,129,1288,73.15,0,0,0,No
84,97,98,7455,166.53,0,1,0,Yes
100,112,100,2538,69.44,0,0,0,No
