ID,Name,Neighborhood,Room Type,Bathrooms,Bedrooms,Price
342670,beautiful apartament & cozy terrace,Palacio,Private room,2,1,65.00 
38473036,Design LOFT - Center of MAD - 4 PAX,Puente de Vallecas,Shared room,1,1,12.00 
214000,Emblematic Plaza CHUECA. Quiet. Spacious. Design,Centro,Entire home/apt,1,1,65.00 
289555,Casa Museo del Prado-Private room.,Sol,Entire home/apt,1,2,80.00 
310333,"Central, cute & Art Apartment",Aluche,Private room,1,1,23.00 
38702707,Modern & Stylish Madrid,Ciudad Jardin,Shared room,2,1,25.00 
119389,Madrid Apartment Latina,Centro,Entire home/apt,1,1,75.00 
103541,CENTRAL AND COMFORT APTO. W/PARKING,Embajadores,Entire home/apt,1,1,85.00 
342952,Special price 29€ per.Center.Wifi U,Embajadores,Private room,1,1,25.00 
38378327,Habitación individual a 20 min en coche del centro,Villa de Vallecas,Shared room,1.5,1,20.00 
183353,ROOM IN CENTRAL GENUINE CHARMINFLAT,Tetuán,Entire home/apt,2,4,125.00 
76617,Plaza Comendadoras Lux,Centro,Entire home/apt,1,1,65.00 
38721236,Habitación sofá cama 2 plazas,Puente de Vallecas,Shared room,1,1,20.00 
136058,"Calm, affordable room in Madrid.",Aluche,Entire home/apt,1,0,85.00 
123864,LOVELY STUDIO IN OLD TOWN-A/C-WIFI,Centro,Entire home/apt,2,3,135.00 
204570,Lovely 110m2 home - BEST LOCATION !,Moratalaz,Entire home/apt,1,1,79.00 
38577809,Habitación bien ambiente,Salamanca,Shared room,1,1,40.00 
225489,Madrid City Center. Room for 1 or 2 people.,Salamanca,Entire home/apt,1,1,70.00 
336834,2 bedroom apartament in Chueca-Fuen,Centro,Private room,2,1,30.00 
224571,"RIGHT WHERE YOU  WANT TO BE+PC,WIFI",Carabanchel,Entire home/apt,1,1,82.00 
38573071,Extraordinario alojamiento en el centro de Madrid,Ciudad Lineal,Shared room,1,1,14.00 
256004,CASA ARCO CUCHILLEROS-BOTIN,Chamartín,Entire home/apt,1,1,55.00 
207275,Bedroom with views,Puente de Vallecas,Entire home/apt,1,2,145.00 
75609,Estudio Museo Dino,Centro,Entire home/apt,1,1,81.00 
336672,Great apartment ∞4 rooms∞ close to City Center,Centro,Private room,1,1,27.00 
38374396,¡¡NUEVO en AirBNB!! Sunset Malasaña Apartment,Palacio,Shared room,1,1,22.00 
38635948,Cozy Apartment in front of the 4 towers Madrid.,Usera,Shared room,0.5,1,25.00 
200828,"FRENTE MAR, ZONA CALAS. PISCINA.",El Tréntaiseis,Entire home/apt,1,1,65.00 
177850,Small room in  center of madrid in Malasaña,Centro,Entire home/apt,1,2,100.00 
256842,For Family 5p 20 min Puerta del Sol,Embajadores,Entire home/apt,1,2,90.00 
38715449,Habitación privada+ Wifi+ Desayuno incluido.,Chamberí,Shared room,2,1,18.00 
112650,Madrid center 2 rooms 4 people,Embajadores,Entire home/apt,1,1,90.00 
102194,CHIC APARTMENT CHUECA WiFi & AC,Salamanca,Entire home/apt,1,3,90.00 
38470623,Habitación en piso familiar,Malasaña,Shared room,2,1,17.00 
341939,Self-catering Apartment in Madrid,Malasaña,Private room,2,1,30.00 
183435,CENTRAL REFURBISHED GENUINE XIXFLAT,Centro,Entire home/apt,1,1,83.00 
38583904,Habitación moderna individual,Centro,Shared room,2,1,17.00 
38726351,a 25-minutos del centro de Madrid near Subway,Delicias,Shared room,1.5,1,18.00 
217674,PENTHOUSE PLAZA MAYOR ROOFTOP TERRACE,Retiro,Entire home/apt,1,1,85.00 
38671689,Habitación en apartamento céntrico y luminoso,Prosperidad,Shared room,1,1,450.00 
